Hero,Points
"Aurora, Shooting Star",1051
"Azalea, Ace in the Hole",1036
"Bravo, Star of the Show",1582
"Briar, Warden of Thorns",1158
"Chane, Bound by Shadow",1102
"Dash, Inventor Extraordinaire",1013
"Dromai, Ash Artist",1096
"Enigma, Ledger of Ancestry",1046
"Florian, Rotwood Harbinger",1029
"Iyslander, Stormbind",1012
"Kayo, Armed and Dangerous",1014
"Kano, Dracai of Aether",1028
"Lexi, Livewire",1276
"Nuu, Alluring Desire",1004
"Oldhim, Grandfather of Eternity",1186
"Prism, Sculptor of Arc Light",1098
"Verdance, Thorn of the Rose",1019
"Viserai, Rune Blood",1016
"Zen, Tamer of Purpose",1000
